pdv,idregion,idciudad,canal,actividad
PDV 95003,2,1149,CANAL 1,F
PDV 94969,2,1227,CANAL 1,D
PDV 94976,2,1227,CANAL 1,D
PDV 95012,2,1225,CANAL 1,F
PDV 94808,2,1225,CANAL 1,F
PDV 94697,2,1225,CANAL 1,F
PDV 94810,2,1225,CANAL 1,F
PDV 99794,2,1223,CANAL 1,F
PDV 100022,2,1161,CANAL 1,S
PDV 100053,2,1149,CANAL 1,D
PDV 111185,2,1225,CANAL 1,S
PDV 99844,2,1157,CANAL 5,F
PDV 99846,2,1157,CANAL 1,F
PDV 100005,2,1149,CANAL 1,B
PDV 100008,2,1149,CANAL 1,D
PDV 100011,2,1149,CANAL 1,I
PDV 100024,2,1157,CANAL 5,F
PDV 100025,2,1157,CANAL 5,F
PDV 100043,2,1157,CANAL 1,D
PDV 94248,2,1227,CANAL 1,F
PDV 94221,2,1225,CANAL 1,F
PDV 109270,2,1157,CANAL 1,A
PDV 109234,2,1167,CANAL 1,F
PDV 94044,2,42,CANAL 5,F
PDV 93836,2,1225,CANAL 1,F
PDV 24778,3,1603,CANAL 1,S
PDV 24779,3,1315,CANAL 1,H
PDV 24780,3,1315,CANAL 1,H
PDV 29302,3,1450,CANAL 1,C
PDV 19185,3,1450,CANAL 1,M
PDV 19055,3,1321,CANAL 1,A
PDV 19053,3,1317,CANAL 1,S
PDV 19540,3,1317,CANAL 1,I
PDV 19541,3,1317,CANAL 1,I
PDV 19570,3,1315,CANAL 1,I
PDV 19467,3,1450,CANAL 1,A
PDV 19325,3,1450,CANAL 2,C
PDV 19326,3,1450,CANAL 1,C
PDV 19327,3,1450,CANAL 1,I
PDV 19331,3,1450,CANAL 1,C
PDV 20102,3,1450,CANAL 1,I
PDV 20070,3,1450,CANAL 1,C
PDV 20071,3,1450,CANAL 1,S
PDV 20072,3,1450,CANAL 1,S
PDV 20073,3,1450,CANAL 1,I
PDV 20104,3,1450,CANAL 1,S
PDV 20105,3,1450,CANAL 1,I
PDV 20106,3,1450,CANAL 1,F
PDV 20107,3,1450,CANAL 1,F
PDV 20108,3,1450,CANAL 1,S
PDV 20285,3,1450,CANAL 1,S
PDV 19756,3,1450,CANAL 1,F
PDV 19753,3,1632,CANAL 1,F
PDV 19746,3,1632,CANAL 1,F
PDV 19893,3,1450,CANAL 1,I
PDV 19891,3,1450,CANAL 1,I
PDV 19929,3,1311,CANAL 1,H
PDV 20308,3,1450,CANAL 3,F
PDV 20357,3,1450,CANAL 1,I
PDV 20353,3,1450,CANAL 1,I
PDV 20354,3,1450,CANAL 1,F
PDV 20602,3,1450,CANAL 3,F
PDV 20603,3,1450,CANAL 3,F
PDV 20583,3,1450,CANAL 1,I
PDV 20699,3,1450,CANAL 1,F
PDV 20700,3,1450,CANAL 1,F
PDV 20674,3,1450,CANAL 1,F
PDV 20619,3,1450,CANAL 1,F
PDV 21475,3,1450,CANAL 1,C
PDV 21590,3,1315,CANAL 1,F
PDV 21691,3,1450,CANAL 1,I
PDV 21709,3,1450,CANAL 2,S
PDV 21710,3,1317,CANAL 1,A
PDV 21293,3,1450,CANAL 1,C
PDV 21354,3,1450,CANAL 1,S
PDV 21355,3,1450,CANAL 1,I
PDV 21137,3,1315,CANAL 1,I
PDV 22053,3,1450,CANAL 1,I
PDV 22004,3,1450,CANAL 1,C
PDV 21816,3,1599,CANAL 1,A
PDV 21907,3,1450,CANAL 1,I
PDV 21909,3,1450,CANAL 1,S
PDV 21911,3,1450,CANAL 1,S
PDV 21912,3,1450,CANAL 1,S
PDV 21914,3,1450,CANAL 1,S
PDV 22573,3,1450,CANAL 1,P
PDV 22575,3,1450,CANAL 1,S
PDV 22568,3,1450,CANAL 1,F
PDV 22599,3,1450,CANAL 1,C
PDV 22600,3,1450,CANAL 1,A
PDV 22593,3,1450,CANAL 1,I
PDV 22581,3,1450,CANAL 1,H
PDV 22584,3,1450,CANAL 1,C
PDV 22585,3,1450,CANAL 1,S
PDV 22638,3,1450,CANAL 1,B
PDV 22643,3,1450,CANAL 1,S
PDV 23046,3,1315,CANAL 1,H
PDV 22915,3,1450,CANAL 1,I
PDV 22866,3,1311,CANAL 1,P
PDV 22752,3,1450,CANAL 1,S
PDV 22753,3,1450,CANAL 1,S
PDV 22802,3,1450,CANAL 1,I
PDV 23740,3,1413,CANAL 1,A
PDV 23850,3,1315,CANAL 1,A
PDV 23851,3,1315,CANAL 1,C
PDV 23880,3,1450,CANAL 1,B
PDV 24330,3,1620,CANAL 1,S
PDV 24329,3,1317,CANAL 1,F
PDV 24208,3,1620,CANAL 1,I
PDV 24211,3,1315,CANAL 1,I
PDV 24212,3,1315,CANAL 1,C
PDV 24219,3,1321,CANAL 1,C
PDV 24220,3,1315,CANAL 1,C
PDV 24221,3,1321,CANAL 1,C
PDV 24187,3,1450,CANAL 1,S
PDV 24252,3,1311,CANAL 1,C
PDV 24248,3,1317,CANAL 1,S
PDV 24249,3,1311,CANAL 1,S
PDV 24240,3,1317,CANAL 1,S
PDV 24242,3,1603,CANAL 1,S
PDV 24230,3,1321,CANAL 1,C
PDV 24236,3,1321,CANAL 1,S
PDV 24217,3,1603,CANAL 1,A
PDV 24225,3,1321,CANAL 1,C
PDV 24226,3,1315,CANAL 1,C
PDV 24227,3,1321,CANAL 1,S
PDV 24173,3,1313,CANAL 1,S
PDV 24133,3,1450,CANAL 1,S
PDV 24130,3,1405,CANAL 1,I
PDV 24041,3,1450,CANAL 1,I
PDV 24090,3,1315,CANAL 1,S
PDV 24069,3,1315,CANAL 1,S
PDV 24070,3,1315,CANAL 1,A
PDV 23178,3,1311,CANAL 1,A
PDV 23140,3,1450,CANAL 1,A
PDV 23145,3,1450,CANAL 1,P
PDV 23146,3,1450,CANAL 1,T
PDV 23147,3,1450,CANAL 1,A
PDV 23142,3,1450,CANAL 1,S
PDV 23149,3,1450,CANAL 1,A
PDV 23151,3,1450,CANAL 1,C
PDV 23152,3,1450,CANAL 1,C
PDV 23360,3,1450,CANAL 1,S
PDV 23364,3,1450,CANAL 1,A
PDV 23336,3,1413,CANAL 1,B
PDV 23330,3,1450,CANAL 1,S
PDV 23260,3,1315,CANAL 1,C
PDV 23645,3,1413,CANAL 1,I
PDV 23639,3,1413,CANAL 1,B
PDV 23669,3,1315,CANAL 1,C
PDV 23671,3,1315,CANAL 1,C
PDV 23045,2,27,CANAL 1,V
PDV 23037,2,27,CANAL 1,T
PDV 23003,2,27,CANAL 1,C
PDV 23018,2,27,CANAL 1,T
PDV 22472,2,27,CANAL 1,V
PDV 22653,2,27,CANAL 1,C
PDV 22680,2,27,CANAL 1,C
PDV 22681,2,27,CANAL 1,V
PDV 21877,2,27,CANAL 1,C
PDV 21878,2,27,CANAL 1,C
PDV 21879,2,27,CANAL 1,T
PDV 21863,2,27,CANAL 2,C
PDV 22011,2,27,CANAL 1,C
PDV 21930,2,27,CANAL 1,C
PDV 21931,2,27,CANAL 1,C
PDV 22173,2,27,CANAL 1,C
PDV 22112,2,27,CANAL 1,C
PDV 22182,2,27,CANAL 1,B
PDV 22309,2,27,CANAL 2,C
PDV 22418,2,27,CANAL 1,C
PDV 19453,2,27,CANAL 1,V
PDV 19620,2,1023,CANAL 1,F
PDV 19621,2,24,CANAL 1,C
PDV 19309,2,27,CANAL 1,F
PDV 19310,2,27,CANAL 1,C
PDV 19041,2,27,CANAL 1,NULL
PDV 19068,2,27,CANAL 1,C
PDV 19069,2,27,CANAL 1,I
PDV 20182,2,27,CANAL 1,V
PDV 20087,2,27,CANAL 1,D
PDV 20088,2,676,CANAL 1,V
PDV 20020,2,1119,CANAL 1,C
PDV 19937,2,27,CANAL 2,C
PDV 19852,2,1115,CANAL 1,D
PDV 20309,2,1021,CANAL 1,C
PDV 20307,2,53,CANAL 1,D
PDV 20887,2,27,CANAL 1,C
PDV 20883,2,27,CANAL 1,P
PDV 20889,2,1021,CANAL 1,D
PDV 20679,2,1115,CANAL 1,C
PDV 21586,2,27,CANAL 1,C
PDV 21582,2,27,CANAL 1,C
PDV 16184,2,27,CANAL 1,V
PDV 16185,2,27,CANAL 1,F
PDV 16255,2,27,CANAL 1,C
PDV 15686,2,27,CANAL 2,C
PDV 15687,2,27,CANAL 2,C
PDV 15980,2,1115,CANAL 2,A
PDV 15606,2,1115,CANAL 2,T
PDV 15681,2,27,CANAL 1,C
PDV 15398,2,1115,CANAL 2,C
PDV 15249,2,27,CANAL 1,A
PDV 15173,2,1021,CANAL 2,A
PDV 15303,2,1115,CANAL 2,F
PDV 14153,2,1123,CANAL 1,T
PDV 14224,2,1115,CANAL 2,C
PDV 14195,2,27,CANAL 1,C
PDV 14805,2,1025,CANAL 1,C
PDV 14809,2,1021,CANAL 2,C
PDV 14994,2,1019,CANAL 2,C
PDV 14594,2,1115,CANAL 2,C
PDV 14595,2,1115,CANAL 2,T
PDV 18861,2,27,CANAL 1,D
PDV 18730,2,1017,CANAL 1,C
PDV 18390,2,27,CANAL 1,C
PDV 18391,2,27,CANAL 1,V
PDV 18493,2,27,CANAL 1,F
PDV 18068,2,27,CANAL 1,M
PDV 18070,2,1021,CANAL 1,P
PDV 18264,2,27,CANAL 1,B
PDV 18189,2,27,CANAL 2,P
PDV 17896,2,1115,CANAL 2,T
PDV 17721,2,1467,CANAL 1,C
PDV 17710,2,27,CANAL 1,C
PDV 16650,2,27,CANAL 1,C
PDV 16587,2,1115,CANAL 1,I
PDV 16591,2,27,CANAL 1,B
PDV 16592,2,27,CANAL 1,L
PDV 16595,2,27,CANAL 1,B
PDV 16816,2,27,CANAL 1,C
PDV 16837,2,1115,CANAL 1,C
PDV 16909,2,27,CANAL 1,B
PDV 16910,2,27,CANAL 1,B
PDV 16891,2,1115,CANAL 1,C
PDV 16892,2,1115,CANAL 1,C
PDV 17545,2,27,CANAL 1,C
PDV 17624,2,27,CANAL 1,T
PDV 17454,2,27,CANAL 1,A
PDV 17437,2,27,CANAL 1,A
PDV 17170,2,27,CANAL 1,D
PDV 61386,2,1017,CANAL 2,C
PDV 50045,2,1019,CANAL 2,C
PDV 92237,2,1021,CANAL 2,C
PDV 92234,2,27,CANAL 2,V
PDV 92235,2,27,CANAL 2,A
PDV 92149,2,1017,CANAL 2,T
PDV 49948,2,24,CANAL 2,V
PDV 50507,2,1143,CANAL 2,C
PDV 48864,2,1231,CANAL 2,C
PDV 48977,2,1241,CANAL 1,C
PDV 48596,2,27,CANAL 2,C
PDV 48693,2,27,CANAL 2,F
PDV 48837,2,1471,CANAL 2,F
PDV 49088,2,1021,CANAL 2,C
PDV 47972,2,1241,CANAL 2,R
PDV 48004,2,27,CANAL 2,F
PDV 48005,2,27,CANAL 2,F
PDV 50264,2,1019,CANAL 2,B
PDV 50346,2,1021,CANAL 2,C
PDV 47710,2,1241,CANAL 2,R
PDV 47629,2,24,CANAL 1,C
PDV 47724,2,27,CANAL 2,V
PDV 104451,2,27,CANAL 2,P
PDV 46882,2,27,CANAL 1,F
PDV 47518,2,27,CANAL 2,B
PDV 47066,2,27,CANAL 2,C
PDV 48227,2,27,CANAL 1,T
PDV 112080,2,679,CANAL 2,T
PDV 102864,2,1241,CANAL 2,I
PDV 48496,2,27,CANAL 2,F
PDV 45680,2,1017,CANAL 2,C
PDV 45919,2,27,CANAL 2,P
PDV 45891,2,27,CANAL 2,B
PDV 44293,2,27,CANAL 2,E
PDV 46337,2,1143,CANAL 1,C
PDV 46336,2,1473,CANAL 1,F
PDV 42171,2,27,CANAL 2,F
PDV 43302,2,1473,CANAL 2,C
PDV 42170,2,27,CANAL 2,F
PDV 43791,2,1558,CANAL 2,D
PDV 44292,2,1558,CANAL 2,D
PDV 47319,2,24,CANAL 2,B
PDV 117849,3,1450,CANAL 3,F
PDV 117850,3,1450,CANAL 3,F
PDV 117867,3,1315,CANAL 3,F
PDV 117868,3,1450,CANAL 3,F
PDV 117886,3,1450,CANAL 3,F
PDV 117506,3,1409,CANAL 3,F
PDV 117507,2,1153,CANAL 3,F
PDV 117509,2,1021,CANAL 3,F
PDV 117510,2,1558,CANAL 3,F
PDV 50160,2,45,CANAL 3,F
PDV 50512,2,24,CANAL 3,F
PDV 117584,3,1450,CANAL 3,F
PDV 117589,3,1409,CANAL 3,F
PDV 117602,3,1327,CANAL 3,F
PDV 117604,3,1409,CANAL 3,F
PDV 117606,3,1327,CANAL 3,F
PDV 117591,2,25,CANAL 3,F
PDV 117593,2,45,CANAL 3,F
PDV 117595,2,1181,CANAL 3,F
PDV 117597,3,1450,CANAL 3,F
PDV 117582,2,1115,CANAL 3,F
PDV 50546,2,1191,CANAL 3,F
PDV 50547,3,1409,CANAL 3,F
PDV 50548,3,1409,CANAL 3,F
PDV 50816,3,1409,CANAL 3,F
PDV 50808,2,1115,CANAL 3,F
PDV 49026,3,1409,CANAL 3,F
PDV 49027,2,701,CANAL 3,F
PDV 49029,2,701,CANAL 3,F
PDV 49030,2,701,CANAL 3,F
PDV 49146,2,27,CANAL 3,F
PDV 49012,3,1331,CANAL 3,F
PDV 48612,2,1185,CANAL 3,F
PDV 48613,3,1321,CANAL 3,F
PDV 49513,3,1409,CANAL 3,F
PDV 49381,3,1409,CANAL 3,F
PDV 110692,2,27,CANAL 3,F
PDV 110804,3,1409,CANAL 3,F
PDV 110887,3,1409,CANAL 3,F
PDV 49151,2,27,CANAL 3,F
PDV 49348,3,1409,CANAL 3,F
