ventas,cantidad,pdv,producto,fecha,categoria
23,32,1,PDV 104842,PRODUCTO 160,20221128,RECAUDACION
2,00,1,PDV 117474,PRODUCTO 27,20230321,RECARGAS
2,00,1,PDV 104285,PRODUCTO 83,20230311,RECARGAS
1,00,1,PDV 45864,PRODUCTO 83,20220713,RECARGAS
1,00,1,PDV 102209,PRODUCTO 26,20210723,RECARGAS
12,00,3,PDV 114299,PRODUCTO 27,20221227,RECARGAS
13,00,3,PDV 101894,PRODUCTO 83,20210813,RECARGAS
22,00,2,PDV 45190,PRODUCTO 12,20220211,TVPAGA
8,00,2,PDV 111394,PRODUCTO 83,20220818,RECARGAS
5,00,3,PDV 20446,PRODUCTO 26,20221120,RECARGAS
8,00,2,PDV 106838,PRODUCTO 26,20220321,RECARGAS
3,00,1,PDV 50400,PRODUCTO 26,20211215,RECARGAS
18,03,1,PDV 98697,PRODUCTO 167,20220224,RECAUDACION
1,00,1,PDV 44723,PRODUCTO 1,20230519,RECARGAS
16,00,6,PDV 18847,PRODUCTO 9,20220308,RECARGAS
19,00,11,PDV 103524,PRODUCTO 9,20220224,RECARGAS
30,26,2,PDV 50148,PRODUCTO 42,20211118,RECAUDACION
25,00,4,PDV 49911,PRODUCTO 26,20220904,RECARGAS
12,00,1,PDV 110204,PRODUCTO 12,20230615,TVPAGA
10,00,1,PDV 105835,PRODUCTO 9,20221208,RECARGAS
5,00,1,PDV 115534,PRODUCTO 6,20230115,RECARGAS
5,00,1,PDV 50140,PRODUCTO 26,20220109,RECARGAS
78,00,34,PDV 111808,PRODUCTO 9,20220925,RECARGAS
1,00,1,PDV 32912,PRODUCTO 83,20211224,RECARGAS
28,00,17,PDV 15972,PRODUCTO 9,20220608,RECARGAS
128,00,64,PDV 103353,PRODUCTO 9,20220315,RECARGAS
20,00,4,PDV 41802,PRODUCTO 27,20210814,RECARGAS
1,00,1,PDV 92480,PRODUCTO 9,20210703,RECARGAS
4,00,4,PDV 99158,PRODUCTO 9,20220325,RECARGAS
13,02,1,PDV 110070,PRODUCTO 508,20230509,RECAUDACION
4,00,3,PDV 48906,PRODUCTO 6,20211015,RECARGAS
2,00,1,PDV 104866,PRODUCTO 6,20220521,RECARGAS
5,00,1,PDV 40792,PRODUCTO 6,20230316,RECARGAS
1,00,1,PDV 102664,PRODUCTO 83,20230601,RECARGAS
3,00,1,PDV 90419,PRODUCTO 1,20230115,RECARGAS
11,00,5,PDV 108402,PRODUCTO 9,20230512,RECARGAS
3,00,3,PDV 92740,PRODUCTO 83,20230618,RECARGAS
3,00,3,PDV 92267,PRODUCTO 6,20220130,RECARGAS
1,00,1,PDV 42022,PRODUCTO 26,20221113,RECARGAS
87,00,38,PDV 49680,PRODUCTO 9,20221028,RECARGAS
18,64,1,PDV 108917,PRODUCTO 159,20230113,RECAUDACION
46,00,21,PDV 34211,PRODUCTO 9,20210702,RECARGAS
71,00,47,PDV 100160,PRODUCTO 9,20220328,RECARGAS
1,00,1,PDV 107037,PRODUCTO 9,20210831,RECARGAS
1,00,1,PDV 99338,PRODUCTO 6,20211027,RECARGAS
10,00,1,PDV 109912,PRODUCTO 9,20230611,RECARGAS
4,00,4,PDV 43514,PRODUCTO 26,20230114,RECARGAS
9,00,3,PDV 50685,PRODUCTO 26,20220609,RECARGAS
1,00,1,PDV 113312,PRODUCTO 83,20230412,RECARGAS
2,00,1,PDV 102036,PRODUCTO 9,20210912,RECARGAS
1,00,1,PDV 36406,PRODUCTO 83,20230618,RECARGAS
1,00,1,PDV 47170,PRODUCTO 1,20230717,RECARGAS
4,00,3,PDV 6527,PRODUCTO 1,20220427,RECARGAS
1,00,1,PDV 105100,PRODUCTO 6,20211002,RECARGAS
12,00,4,PDV 49006,PRODUCTO 9,20220322,RECARGAS
12,00,4,PDV 15372,PRODUCTO 26,20210720,RECARGAS
5,00,1,PDV 90055,PRODUCTO 83,20210805,RECARGAS
2,00,2,PDV 48397,PRODUCTO 83,20220530,RECARGAS
121,96,1,PDV 109568,PRODUCTO 555,20230608,RECAUDACION
7,00,2,PDV 106976,PRODUCTO 6,20230314,RECARGAS
35,00,30,PDV 41826,PRODUCTO 9,20230103,RECARGAS
41,00,22,PDV 37206,PRODUCTO 9,20220611,RECARGAS
1,00,1,PDV 104987,PRODUCTO 1,20220405,RECARGAS
23,00,12,PDV 109724,PRODUCTO 26,20221125,RECARGAS
1,00,1,PDV 92794,PRODUCTO 83,20221115,RECARGAS
14,00,4,PDV 94812,PRODUCTO 26,20210718,RECARGAS
1,00,1,PDV 52419,PRODUCTO 1,20220724,RECARGAS
0,48,1,PDV 46944,PRODUCTO 404,20221129,RECAUDACION
3,00,2,PDV 97478,PRODUCTO 6,20230716,RECARGAS
20,00,7,PDV 49125,PRODUCTO 9,20211129,RECARGAS
1,00,1,PDV 101509,PRODUCTO 26,20220609,RECARGAS
3,00,1,PDV 111173,PRODUCTO 6,20230731,RECARGAS
4,00,1,PDV 49312,PRODUCTO 83,20221104,RECARGAS
67,00,22,PDV 104749,PRODUCTO 9,20221028,RECARGAS
9,00,3,PDV 15776,PRODUCTO 6,20220301,RECARGAS
16,00,4,PDV 99728,PRODUCTO 27,20220411,RECARGAS
37,00,20,PDV 110952,PRODUCTO 9,20230310,RECARGAS
0,50,1,PDV 102030,PRODUCTO 1,20220218,RECARGAS
49,00,20,PDV 105740,PRODUCTO 9,20220221,RECARGAS
11,00,2,PDV 99107,PRODUCTO 26,20230325,RECARGAS
2,00,1,PDV 13342,PRODUCTO 6,20220205,RECARGAS
3,00,3,PDV 90882,PRODUCTO 9,20220823,RECARGAS
1,00,1,PDV 99789,PRODUCTO 27,20220112,RECARGAS
10,00,1,PDV 109240,PRODUCTO 83,20220613,RECARGAS
19,00,5,PDV 91865,PRODUCTO 9,20230203,RECARGAS
1,00,1,PDV 52117,PRODUCTO 26,20220713,RECARGAS
15,00,9,PDV 90544,PRODUCTO 83,20220126,RECARGAS
2,00,1,PDV 104179,PRODUCTO 27,20230102,RECARGAS
2,00,1,PDV 102350,PRODUCTO 26,20221106,RECARGAS
18,00,3,PDV 48802,PRODUCTO 27,20220318,RECARGAS
7,00,1,PDV 97472,PRODUCTO 83,20220609,RECARGAS
17,00,2,PDV 101315,PRODUCTO 27,20221225,RECARGAS
2,00,2,PDV 108046,PRODUCTO 9,20230226,RECARGAS
3,00,1,PDV 103586,PRODUCTO 26,20220216,RECARGAS
2,00,2,PDV 59007,PRODUCTO 83,20210720,RECARGAS
1,50,1,PDV 97711,PRODUCTO 545,20221126,JUEGOS
13,00,4,PDV 106287,PRODUCTO 9,20220814,RECARGAS
5,00,3,PDV 104453,PRODUCTO 26,20230225,RECARGAS
10,00,1,PDV 49043,PRODUCTO 6,20220628,RECARGAS
10,00,2,PDV 49789,PRODUCTO 603,20230409,PRONOSTICOS
27,00,15,PDV 47363,PRODUCTO 9,20230424,RECARGAS
6,00,2,PDV 106748,PRODUCTO 1,20211126,RECARGAS
1,00,1,PDV 106202,PRODUCTO 83,20220926,RECARGAS
1,00,1,PDV 113744,PRODUCTO 83,20230110,RECARGAS
13,00,2,PDV 23611,PRODUCTO 6,20220331,RECARGAS
42,00,26,PDV 117458,PRODUCTO 9,20230505,RECARGAS
3,00,1,PDV 43758,PRODUCTO 6,20211130,RECARGAS
1,00,1,PDV 48877,PRODUCTO 26,20211029,RECARGAS
5,00,1,PDV 49624,PRODUCTO 83,20211108,RECARGAS
10,00,6,PDV 100070,PRODUCTO 9,20211122,RECARGAS
1,00,1,PDV 45829,PRODUCTO 1,20211128,RECARGAS
1,00,1,PDV 104764,PRODUCTO 9,20210713,RECARGAS
5,00,1,PDV 47147,PRODUCTO 12,20220825,TVPAGA
7,00,1,PDV 109411,PRODUCTO 83,20221001,RECARGAS
3,00,3,PDV 112439,PRODUCTO 83,20230324,RECARGAS
1,00,1,PDV 106005,PRODUCTO 26,20220201,RECARGAS
1,00,1,PDV 51656,PRODUCTO 83,20220421,RECARGAS
3,00,1,PDV 105609,PRODUCTO 6,20220214,RECARGAS
1,00,1,PDV 114982,PRODUCTO 26,20230531,RECARGAS
3,00,1,PDV 40588,PRODUCTO 6,20220611,RECARGAS
43,00,29,PDV 42550,PRODUCTO 9,20220228,RECARGAS
20,00,4,PDV 27296,PRODUCTO 9,20230514,RECARGAS
7,00,1,PDV 43752,PRODUCTO 12,20220805,TVPAGA
3,00,2,PDV 50147,PRODUCTO 6,20220926,RECARGAS
3,00,2,PDV 43696,PRODUCTO 9,20220710,RECARGAS
10,00,1,PDV 105338,PRODUCTO 27,20220409,RECARGAS
69,00,30,PDV 43136,PRODUCTO 9,20220720,RECARGAS
2,00,2,PDV 113628,PRODUCTO 27,20221216,RECARGAS
10,00,6,PDV 17872,PRODUCTO 6,20230226,RECARGAS
4,00,2,PDV 102860,PRODUCTO 26,20221129,RECARGAS
10,00,1,PDV 95164,PRODUCTO 27,20210928,RECARGAS
7,00,1,PDV 107841,PRODUCTO 27,20220316,RECARGAS
10,00,2,PDV 90021,PRODUCTO 27,20211213,RECARGAS
3,00,2,PDV 20377,PRODUCTO 1,20211220,RECARGAS
5,00,1,PDV 113201,PRODUCTO 1,20221226,RECARGAS
26,00,18,PDV 117928,PRODUCTO 9,20230703,RECARGAS
22,00,8,PDV 111699,PRODUCTO 9,20221108,RECARGAS
1,00,1,PDV 114784,PRODUCTO 26,20221117,RECARGAS
11,51,2,PDV 38837,PRODUCTO 526,20211115,RECAUDACION
1,00,1,PDV 92289,PRODUCTO 6,20220220,RECARGAS
70,00,26,PDV 39619,PRODUCTO 26,20211028,RECARGAS
1,00,1,PDV 11507,PRODUCTO 1,20210912,RECARGAS
16,00,3,PDV 111771,PRODUCTO 83,20221205,RECARGAS
2,00,2,PDV 112202,PRODUCTO 83,20230719,RECARGAS
30,00,2,PDV 46519,PRODUCTO 12,20220630,TVPAGA
24,00,3,PDV 108753,PRODUCTO 26,20220912,RECARGAS
1,00,1,PDV 109801,PRODUCTO 9,20220910,RECARGAS
21,00,7,PDV 29206,PRODUCTO 9,20230122,RECARGAS
1,00,1,PDV 117763,PRODUCTO 26,20230626,RECARGAS
4,00,2,PDV 90353,PRODUCTO 26,20230307,RECARGAS
2,00,1,PDV 106061,PRODUCTO 1,20220625,RECARGAS
7,00,1,PDV 43941,PRODUCTO 27,20230428,RECARGAS
14,00,5,PDV 31348,PRODUCTO 6,20220116,RECARGAS
5,00,3,PDV 103610,PRODUCTO 26,20211125,RECARGAS
14,91,1,PDV 112926,PRODUCTO 160,20230710,RECAUDACION
6,00,2,PDV 95581,PRODUCTO 26,20230510,RECARGAS
37,00,19,PDV 50303,PRODUCTO 9,20230625,RECARGAS
3,00,3,PDV 114776,PRODUCTO 27,20230718,RECARGAS
40,00,19,PDV 36405,PRODUCTO 9,20230410,RECARGAS
14,00,9,PDV 98789,PRODUCTO 9,20220818,RECARGAS
5,00,1,PDV 90882,PRODUCTO 9,20230724,RECARGAS
5,00,2,PDV 34175,PRODUCTO 26,20220107,RECARGAS
13,00,6,PDV 105750,PRODUCTO 9,20230530,RECARGAS
13,00,4,PDV 104287,PRODUCTO 26,20220319,RECARGAS
1,00,1,PDV 44277,PRODUCTO 26,20221117,RECARGAS
2,00,2,PDV 114657,PRODUCTO 1,20221217,RECARGAS
21,00,6,PDV 20211,PRODUCTO 9,20221011,RECARGAS
91,00,52,PDV 46166,PRODUCTO 9,20211016,RECARGAS
5,00,3,PDV 100986,PRODUCTO 6,20220216,RECARGAS
7,00,7,PDV 42967,PRODUCTO 9,20230628,RECARGAS
14,00,2,PDV 47483,PRODUCTO 12,20230404,TVPAGA
3,00,1,PDV 100178,PRODUCTO 1,20220403,RECARGAS
1,00,1,PDV 111340,PRODUCTO 26,20220825,RECARGAS
3,00,3,PDV 109991,PRODUCTO 9,20220425,RECARGAS
1,00,1,PDV 107604,PRODUCTO 1,20230424,RECARGAS
10,00,9,PDV 32614,PRODUCTO 9,20230715,RECARGAS
34,00,19,PDV 100003,PRODUCTO 9,20220304,RECARGAS
1,00,1,PDV 109440,PRODUCTO 27,20230204,RECARGAS
31,00,9,PDV 114687,PRODUCTO 26,20230117,RECARGAS
36,39,2,PDV 44096,PRODUCTO 160,20221022,RECAUDACION
1,00,1,PDV 114060,PRODUCTO 27,20230618,RECARGAS
5,00,1,PDV 36227,PRODUCTO 26,20230327,RECARGAS
26,00,3,PDV 49779,PRODUCTO 12,20210719,TVPAGA
4,00,1,PDV 41825,PRODUCTO 83,20220827,RECARGAS
7,00,1,PDV 113798,PRODUCTO 27,20221204,RECARGAS
3,00,3,PDV 48885,PRODUCTO 6,20221021,RECARGAS
1,00,1,PDV 106970,PRODUCTO 83,20220607,RECARGAS
17,00,4,PDV 15780,PRODUCTO 26,20230119,RECARGAS
4,00,3,PDV 110723,PRODUCTO 9,20230329,RECARGAS
32,00,2,PDV 100762,PRODUCTO 12,20230331,TVPAGA
5,00,1,PDV 92804,PRODUCTO 27,20210726,RECARGAS
19,00,6,PDV 100884,PRODUCTO 9,20230608,RECARGAS
2,00,2,PDV 31529,PRODUCTO 27,20211209,RECARGAS
1,00,1,PDV 113927,PRODUCTO 1,20221106,RECARGAS
13,00,4,PDV 45995,PRODUCTO 26,20220418,RECARGAS
7,00,3,PDV 106442,PRODUCTO 9,20220205,RECARGAS
2,00,2,PDV 103949,PRODUCTO 9,20220723,RECARGAS
23,00,17,PDV 4591,PRODUCTO 9,20221223,RECARGAS
122,43,4,PDV 24831,PRODUCTO 410,20220309,RECAUDACION
22,00,10,PDV 101783,PRODUCTO 9,20230317,RECARGAS
2,00,1,PDV 3760,PRODUCTO 83,20211111,RECARGAS
4,00,2,PDV 111099,PRODUCTO 6,20230617,RECARGAS
41,44,2,PDV 43779,PRODUCTO 525,20220625,RECAUDACION
20,00,2,PDV 41202,PRODUCTO 12,20210828,TVPAGA
25,00,9,PDV 40857,PRODUCTO 9,20220527,RECARGAS
33,00,8,PDV 39085,PRODUCTO 9,20220911,RECARGAS
4,00,2,PDV 98731,PRODUCTO 1,20221014,RECARGAS
83,00,40,PDV 90692,PRODUCTO 9,20210908,RECARGAS
4,00,2,PDV 31835,PRODUCTO 1,20211127,RECARGAS
5,52,1,PDV 107738,PRODUCTO 299,20220310,RECAUDACION
4,00,3,PDV 104114,PRODUCTO 9,20220310,RECARGAS
7,00,3,PDV 47276,PRODUCTO 26,20230713,RECARGAS
12,00,1,PDV 44996,PRODUCTO 12,20210904,TVPAGA
4,00,2,PDV 33802,PRODUCTO 26,20221016,RECARGAS
21,00,13,PDV 98549,PRODUCTO 26,20211028,RECARGAS
2,00,2,PDV 95463,PRODUCTO 1,20211010,RECARGAS
27,00,7,PDV 90353,PRODUCTO 83,20210914,RECARGAS
6,00,5,PDV 109590,PRODUCTO 9,20230509,RECARGAS
11,00,2,PDV 17967,PRODUCTO 83,20210812,RECARGAS
17,00,2,PDV 90544,PRODUCTO 12,20220621,TVPAGA
1,00,1,PDV 115222,PRODUCTO 9,20221108,RECARGAS
50,00,15,PDV 95252,PRODUCTO 9,20210917,RECARGAS
6,00,2,PDV 49805,PRODUCTO 27,20211201,RECARGAS
6,00,2,PDV 105440,PRODUCTO 6,20220401,RECARGAS
1,00,1,PDV 109740,PRODUCTO 26,20220428,RECARGAS
1,00,1,PDV 47965,PRODUCTO 1,20230715,RECARGAS
1,00,1,PDV 114374,PRODUCTO 26,20230313,RECARGAS
10,00,4,PDV 100174,PRODUCTO 26,20210923,RECARGAS
13,00,3,PDV 99711,PRODUCTO 9,20220428,RECARGAS
2,00,1,PDV 25338,PRODUCTO 27,20211130,RECARGAS
53,00,18,PDV 33805,PRODUCTO 9,20230623,RECARGAS
2,00,1,PDV 47732,PRODUCTO 1,20221114,RECARGAS
3,00,1,PDV 105497,PRODUCTO 6,20220404,RECARGAS
9,50,1,PDV 92993,PRODUCTO 1,20230204,RECARGAS
10,00,1,PDV 102346,PRODUCTO 6,20220726,RECARGAS
13,00,3,PDV 114472,PRODUCTO 27,20230625,RECARGAS
23,00,15,PDV 103996,PRODUCTO 9,20230604,RECARGAS
19,00,4,PDV 103599,PRODUCTO 27,20220602,RECARGAS
10,00,6,PDV 108771,PRODUCTO 9,20230111,RECARGAS
7,00,1,PDV 113970,PRODUCTO 83,20230207,RECARGAS
3,00,1,PDV 58397,PRODUCTO 26,20220227,RECARGAS
19,00,2,PDV 99480,PRODUCTO 12,20210802,TVPAGA
5,00,1,PDV 46310,PRODUCTO 27,20210803,RECARGAS
11,06,1,PDV 48423,PRODUCTO 416,20220810,RECAUDACION
12,00,5,PDV 90086,PRODUCTO 26,20230204,RECARGAS
1,00,1,PDV 46181,PRODUCTO 27,20221226,RECARGAS
1,00,1,PDV 50779,PRODUCTO 27,20220309,RECARGAS
39,00,16,PDV 49231,PRODUCTO 9,20220425,RECARGAS
4,00,2,PDV 43935,PRODUCTO 6,20220107,RECARGAS
6,00,2,PDV 25606,PRODUCTO 6,20221025,RECARGAS
1,00,1,PDV 106740,PRODUCTO 9,20230112,RECARGAS
1,00,1,PDV 11759,PRODUCTO 1,20230611,RECARGAS
11,00,2,PDV 100761,PRODUCTO 26,20220216,RECARGAS
31,00,4,PDV 41188,PRODUCTO 12,20220626,TVPAGA
45,00,19,PDV 104091,PRODUCTO 9,20230221,RECARGAS
7,00,1,PDV 99877,PRODUCTO 12,20230127,TVPAGA
1,00,1,PDV 110167,PRODUCTO 1,20220805,RECARGAS
85,00,34,PDV 29353,PRODUCTO 9,20221231,RECARGAS
3,00,1,PDV 109373,PRODUCTO 26,20230618,RECARGAS
3,00,1,PDV 42569,PRODUCTO 83,20230701,RECARGAS
13,00,2,PDV 38565,PRODUCTO 6,20230402,RECARGAS
22,00,2,PDV 47692,PRODUCTO 12,20221217,TVPAGA
2,00,2,PDV 106136,PRODUCTO 26,20220318,RECARGAS
7,00,1,PDV 110983,PRODUCTO 83,20221110,RECARGAS
51,00,35,PDV 17643,PRODUCTO 9,20220906,RECARGAS
4,00,2,PDV 49940,PRODUCTO 6,20220321,RECARGAS
1,00,1,PDV 100004,PRODUCTO 26,20220404,RECARGAS
4,00,2,PDV 43113,PRODUCTO 6,20230709,RECARGAS
93,00,41,PDV 95843,PRODUCTO 9,20230716,RECARGAS
1,00,1,PDV 106497,PRODUCTO 9,20220515,RECARGAS
1,00,1,PDV 58877,PRODUCTO 83,20220919,RECARGAS
2,00,1,PDV 34181,PRODUCTO 83,20230530,RECARGAS
5,00,2,PDV 101572,PRODUCTO 1,20220302,RECARGAS
1,00,1,PDV 105593,PRODUCTO 6,20221119,RECARGAS
0,25,1,PDV 97819,PRODUCTO 83,20230327,RECARGAS
2,00,2,PDV 49221,PRODUCTO 1,20230131,RECARGAS
1,00,1,PDV 17866,PRODUCTO 1,20220730,RECARGAS
23,00,6,PDV 103357,PRODUCTO 9,20230129,RECARGAS
1,00,1,PDV 49320,PRODUCTO 83,20210705,RECARGAS
7,00,5,PDV 118402,PRODUCTO 9,20230608,RECARGAS
12,50,2,PDV 105516,PRODUCTO 295,20211216,RECAUDACION
1,00,1,PDV 103817,PRODUCTO 6,20220120,RECARGAS
10,00,1,PDV 47877,PRODUCTO 12,20221009,TVPAGA
1,00,1,PDV 108239,PRODUCTO 245,20211212,LOTERIA
2,00,2,PDV 54882,PRODUCTO 26,20220109,RECARGAS
17,00,2,PDV 111047,PRODUCTO 27,20230715,RECARGAS
35,00,3,PDV 100761,PRODUCTO 12,20220903,TVPAGA
89,77,4,PDV 46270,PRODUCTO 295,20211214,RECAUDACION
4,00,2,PDV 35707,PRODUCTO 26,20211014,RECARGAS
1,00,1,PDV 90023,PRODUCTO 83,20230603,RECARGAS
4,00,4,PDV 115134,PRODUCTO 26,20230529,RECARGAS
1,00,1,PDV 113912,PRODUCTO 27,20230324,RECARGAS
5,00,2,PDV 43465,PRODUCTO 9,20220604,RECARGAS
10,00,1,PDV 49846,PRODUCTO 12,20211106,TVPAGA
19,00,2,PDV 30911,PRODUCTO 12,20220102,TVPAGA
3,00,3,PDV 105000,PRODUCTO 1,20220124,RECARGAS
18,00,8,PDV 111291,PRODUCTO 9,20230406,RECARGAS
2,00,2,PDV 109403,PRODUCTO 26,20221220,RECARGAS
1,00,1,PDV 104698,PRODUCTO 5,20220920,RECARGAS
2,00,2,PDV 112439,PRODUCTO 83,20230618,RECARGAS
3,00,1,PDV 46025,PRODUCTO 9,20220312,RECARGAS
1,00,1,PDV 19654,PRODUCTO 9,20221118,RECARGAS
6,50,4,PDV 106164,PRODUCTO 1,20210720,RECARGAS
2,00,2,PDV 107105,PRODUCTO 9,20220303,RECARGAS
5,00,1,PDV 33820,PRODUCTO 83,20220215,RECARGAS
7,00,2,PDV 107159,PRODUCTO 9,20211019,RECARGAS
2,00,1,PDV 104749,PRODUCTO 1,20221213,RECARGAS
10,00,1,PDV 41202,PRODUCTO 12,20220719,TVPAGA
77,00,47,PDV 114981,PRODUCTO 9,20221228,RECARGAS
5,00,5,PDV 43970,PRODUCTO 1,20210905,RECARGAS
10,00,4,PDV 116218,PRODUCTO 6,20230129,RECARGAS
11,00,2,PDV 34175,PRODUCTO 26,20230125,RECARGAS
3,00,3,PDV 102535,PRODUCTO 9,20230504,RECARGAS
5,00,4,PDV 90674,PRODUCTO 6,20230330,RECARGAS
6,00,4,PDV 105666,PRODUCTO 1,20211222,RECARGAS
10,00,1,PDV 99107,PRODUCTO 26,20211107,RECARGAS
6,00,2,PDV 108288,PRODUCTO 6,20220325,RECARGAS
11,00,4,PDV 40049,PRODUCTO 26,20220414,RECARGAS
23,00,5,PDV 37872,PRODUCTO 26,20220604,RECARGAS
23,00,6,PDV 107887,PRODUCTO 9,20221225,RECARGAS
5,00,1,PDV 108161,PRODUCTO 6,20230218,RECARGAS
2,00,1,PDV 95351,PRODUCTO 9,20220426,RECARGAS
15,00,7,PDV 112917,PRODUCTO 9,20230524,RECARGAS
20,00,2,PDV 58438,PRODUCTO 27,20230529,RECARGAS
6,00,2,PDV 101799,PRODUCTO 6,20220326,RECARGAS
5,00,1,PDV 108642,PRODUCTO 9,20230117,RECARGAS
18,00,6,PDV 52238,PRODUCTO 26,20210714,RECARGAS
27,00,9,PDV 47146,PRODUCTO 6,20220518,RECARGAS
0,92,2,PDV 46095,PRODUCTO 404,20220817,RECAUDACION
13,00,2,PDV 20597,PRODUCTO 6,20220515,RECARGAS
2,00,1,PDV 102398,PRODUCTO 83,20230425,RECARGAS
5,00,1,PDV 52419,PRODUCTO 27,20211017,RECARGAS
17,00,5,PDV 106194,PRODUCTO 9,20220425,RECARGAS
31,00,7,PDV 99428,PRODUCTO 27,20220205,RECARGAS
4,00,4,PDV 109558,PRODUCTO 9,20220502,RECARGAS
10,00,1,PDV 102966,PRODUCTO 27,20221221,RECARGAS
5,00,2,PDV 108046,PRODUCTO 9,20230213,RECARGAS
2,00,2,PDV 48916,PRODUCTO 83,20211123,RECARGAS
7,00,3,PDV 106084,PRODUCTO 9,20230616,RECARGAS
15,57,1,PDV 115770,PRODUCTO 145,20230704,RECAUDACION
1,00,1,PDV 114751,PRODUCTO 83,20221109,RECARGAS
5,00,1,PDV 100138,PRODUCTO 27,20211121,RECARGAS
14,00,3,PDV 102491,PRODUCTO 26,20221222,RECARGAS
6,00,2,PDV 103441,PRODUCTO 83,20220602,RECARGAS
3,00,1,PDV 112318,PRODUCTO 6,20221112,RECARGAS
14,00,4,PDV 94139,PRODUCTO 9,20220831,RECARGAS
1,00,1,PDV 109944,PRODUCTO 83,20220825,RECARGAS
10,00,7,PDV 104215,PRODUCTO 9,20220715,RECARGAS
1,00,1,PDV 50286,PRODUCTO 26,20220117,RECARGAS
2,00,1,PDV 108792,PRODUCTO 83,20220305,RECARGAS
23,00,7,PDV 94253,PRODUCTO 9,20230404,RECARGAS
19,00,6,PDV 109798,PRODUCTO 9,20221024,RECARGAS
65,00,17,PDV 50957,PRODUCTO 9,20220310,RECARGAS
12,00,6,PDV 99999,PRODUCTO 26,20220429,RECARGAS
14,00,2,PDV 105113,PRODUCTO 12,20210710,TVPAGA
14,00,6,PDV 92264,PRODUCTO 6,20211225,RECARGAS
11,00,5,PDV 107044,PRODUCTO 27,20230623,RECARGAS
2,00,1,PDV 107409,PRODUCTO 6,20220619,RECARGAS
7,00,1,PDV 104424,PRODUCTO 12,20220301,TVPAGA
53,00,29,PDV 114245,PRODUCTO 26,20230626,RECARGAS
4,00,2,PDV 94033,PRODUCTO 6,20220608,RECARGAS
7,00,3,PDV 108903,PRODUCTO 6,20221014,RECARGAS
3,00,2,PDV 113882,PRODUCTO 26,20221212,RECARGAS
28,30,1,PDV 51185,PRODUCTO 149,20220422,RECAUDACION
1,00,1,PDV 50296,PRODUCTO 26,20220524,RECARGAS
10,00,1,PDV 52039,PRODUCTO 26,20220922,RECARGAS
2,00,2,PDV 106093,PRODUCTO 9,20210717,RECARGAS
157,63,1,PDV 116523,PRODUCTO 263,20230112,RECAUDACION
2,00,1,PDV 104014,PRODUCTO 9,20220630,RECARGAS
12,00,4,PDV 115660,PRODUCTO 6,20230610,RECARGAS
1,00,1,PDV 43054,PRODUCTO 9,20230511,RECARGAS
14,00,2,PDV 44813,PRODUCTO 12,20221025,TVPAGA
1,00,1,PDV 114155,PRODUCTO 27,20230528,RECARGAS
48,29,2,PDV 105581,PRODUCTO 412,20220614,RECAUDACION
3,00,1,PDV 101874,PRODUCTO 1,20211114,RECARGAS
21,00,10,PDV 98003,PRODUCTO 9,20220816,RECARGAS
15,00,7,PDV 106701,PRODUCTO 26,20230506,RECARGAS
13,00,4,PDV 41521,PRODUCTO 83,20220102,RECARGAS
1,00,1,PDV 95758,PRODUCTO 9,20210829,RECARGAS
3,00,1,PDV 3033,PRODUCTO 1,20220529,RECARGAS
15,00,8,PDV 39739,PRODUCTO 26,20220813,RECARGAS
1,00,1,PDV 111211,PRODUCTO 27,20221225,RECARGAS
1,00,1,PDV 110418,PRODUCTO 83,20230602,RECARGAS
8,00,4,PDV 48592,PRODUCTO 9,20220621,RECARGAS
7,00,1,PDV 41807,PRODUCTO 27,20221003,RECARGAS
33,00,7,PDV 46328,PRODUCTO 83,20211018,RECARGAS
8,00,3,PDV 46772,PRODUCTO 26,20230129,RECARGAS
1,00,1,PDV 98327,PRODUCTO 9,20221125,RECARGAS
2,00,1,PDV 114327,PRODUCTO 83,20221213,RECARGAS
1,00,1,PDV 105355,PRODUCTO 1,20220803,RECARGAS
2,00,2,PDV 107220,PRODUCTO 9,20230111,RECARGAS
5,00,1,PDV 93828,PRODUCTO 6,20210709,RECARGAS
7,00,1,PDV 104519,PRODUCTO 27,20220715,RECARGAS
1,00,1,PDV 47483,PRODUCTO 26,20230722,RECARGAS
1,50,1,PDV 107982,PRODUCTO 545,20220803,JUEGOS
13,00,4,PDV 98074,PRODUCTO 9,20230105,RECARGAS
43,00,14,PDV 96149,PRODUCTO 9,20211218,RECARGAS
3,00,1,PDV 107344,PRODUCTO 6,20220224,RECARGAS
4,00,3,PDV 41192,PRODUCTO 83,20221204,RECARGAS
13,00,2,PDV 114746,PRODUCTO 26,20230411,RECARGAS
63,42,1,PDV 107119,PRODUCTO 147,20220820,RECAUDACION
24,83,1,PDV 103708,PRODUCTO 145,20221211,RECAUDACION
2,00,2,PDV 101607,PRODUCTO 27,20211211,RECARGAS
1,00,1,PDV 101457,PRODUCTO 9,20210709,RECARGAS
1,00,1,PDV 51786,PRODUCTO 27,20221207,RECARGAS
12,66,1,PDV 39689,PRODUCTO 145,20210922,RECAUDACION
6,00,1,PDV 33806,PRODUCTO 1,20230103,RECARGAS
3,00,2,PDV 95424,PRODUCTO 1,20210828,RECARGAS
37,00,20,PDV 94016,PRODUCTO 9,20221210,RECARGAS
3,00,1,PDV 34765,PRODUCTO 26,20220323,RECARGAS
